127.0.0.1 - - [10/Jan/2023:02:31:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:31:12 +0530] "GET /PROJECT_4/ HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:31:20 +0530] "GET /PROJECT_4/WelcomeCtl HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:32:33 +0530] "GET /PROJECT_4/LoginCtl HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:11 +0530] "POST /PROJECT_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:11 +0530] "GET /PROJECT_4/WelcomeCtl HTTP/1.1" 200 3132
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/jquery/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/jquery/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/jquery/jquery-3.5.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/type-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/package-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/module-search-index.zip HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/member-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/tag-search-index.zip HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/type-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/tag-search-index.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/package-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/member-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/module-search-index.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/resources/glass.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:02:33:18 +0530] "GET /PROJECT_4/doc/resources/x.png HTTP/1.1" 304 -
